Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 253  9  9 1600    2.0  444.0   10.7  297.0  444.0   -1.7
2008 253  9  9 1700    1.9  444.0   13.6  290.0   74.9   -1.9
2008 253  9  9 1800    1.5 1003.1   12.1  282.0   78.9   -2.0
2008 253  9  9 1900    1.6  444.0   12.0  289.0  444.0  444.0
2008 253  9  9 2000    2.1 1003.4   14.4  289.0   75.0   -1.4
2008 253  9  9 2100    2.3 1002.7   11.9  288.0  444.0   -1.5
2008 253  9  9 2200    1.9 1001.2   13.7  293.0   82.0   -1.5
2008 253  9  9 2300    3.2 1003.9   15.5  299.0   70.0   -1.4
2008 254  9 10 0000    2.6 1002.3    9.8  320.0  444.0   -1.5
2008 254  9 10 0100    2.5 1001.5   11.5  306.0   72.7   -1.4
2008 254  9 10 0200    2.5 1001.0   12.1  318.0   70.7   -1.4
2008 254  9 10 0300    1.5  998.3   15.0  292.0   80.9   -2.0
2008 254  9 10 0400    1.7  997.3    7.1  318.0   77.5   -1.8
2008 254  9 10 0500    1.3  996.2    9.0  302.0   84.0   -2.4
2008 254  9 10 0600    1.1  995.6   12.0  289.0   83.9   -1.4
2008 254  9 10 0700    0.6  994.6   15.1  287.0   88.0   -3.2
2008 254  9 10 0800    1.2  995.4   10.3  278.0   83.1   -1.6
2008 254  9 10 0900    0.7  994.6    7.8  250.0   91.0   -1.4
2008 254  9 10 1000    0.9  994.7    5.5  255.0  444.0   -1.9
2008 254  9 10 1100    0.8  994.9    1.2  229.0   92.2   -2.5
2008 254  9 10 1200    0.6  995.1    3.6  201.0   88.6   -3.2
2008 254  9 10 1300    0.4  444.0    2.8  218.0   89.0   -2.5
2008 254  9 10 1400   -0.4  444.0    4.3  233.0   96.5   -2.8
2008 254  9 10 1500   -0.8  444.0    3.4  145.0   92.0   -2.2
2008 254  9 10 1600   -1.0  444.0    3.4  185.0  444.0   -2.2
2008 254  9 10 1700  444.0  444.0  444.0  444.0  444.0  444.0
2008 254  9 10 1800   -0.7  444.0    1.6   35.0   92.5   -1.9
2008 254  9 10 1900   -0.8  444.0    1.6   35.0   95.0   -1.6
2008 254  9 10 2000   -1.0  444.0    2.7   44.0   97.0   -1.3
2008 254  9 10 2100   -1.3  444.0    2.8    4.0   96.5   -1.4
2008 254  9 10 2200    0.2  444.0    4.3  264.0  444.0   -1.4
2008 254  9 10 2300    0.2  993.1    5.4  273.0   78.0   -1.4
2008 255  9 11 0000   -0.7  990.8    2.5   55.0   73.9   -1.8
2008 255  9 11 0100   -0.7  993.3    1.1   89.0   89.3   -1.9
2008 255  9 11 0200   -1.6  992.1    1.5  107.0   95.3   -1.8
2008 255  9 11 0300    0.2  993.8    1.5  188.0  444.0   -1.9
2008 255  9 11 0400    1.1 1000.5    9.3  292.0   66.8   -1.8
2008 255  9 11 0500    1.3 1002.2    9.4  284.0   61.3   -1.9
2008 255  9 11 0600    1.1 1002.5   11.7  291.0   69.9   -1.7
2008 255  9 11 0700    1.5 1004.0   11.0  298.0   76.0   -1.7
2008 255  9 11 0800    1.9 1005.2   10.8  286.0  444.0   -1.7
2008 255  9 11 0900    1.8 1004.7   10.8  286.0   83.3   -1.7
2008 255  9 11 1000    1.2 1003.3   12.9  280.0   84.4   -1.7
2008 255  9 11 1100    1.4 1004.0   12.8  269.0   85.4   -2.3
2008 255  9 11 1200    1.4 1005.1   13.7  270.0   84.4   -1.9
2008 255  9 11 1300    1.1 1004.3   13.1  271.0  444.0   -3.2
2008 255  9 11 1400    1.2 1004.3   13.8  282.0   88.0   -3.5
2008 255  9 11 1500    0.7 1003.5   13.9  284.0   89.0   -3.8
