Year: 2010  Month: 02  ID: CDN  ARGOS:  8988  Name: Cape Denison        
Lat: 67.01S  Lon: 142.67E  Elev:   31m
2010  45  2 14 1400   -7.6  989.9  444.0  444.0   69.0  444.0
2010  45  2 14 1500   -8.5  988.6  444.0  444.0   75.1  444.0
2010  45  2 14 1600   -9.6  988.0  444.0  444.0   83.5  444.0
2010  45  2 14 1700   -9.2  987.1  444.0  444.0   73.4  444.0
2010  45  2 14 1800   -9.6  986.5  444.0  444.0   72.9  444.0
2010  45  2 14 1900   -9.1  986.4  444.0  444.0   74.2  444.0
2010  45  2 14 2000   -8.5  985.2  444.0  444.0   74.7  444.0
2010  45  2 14 2100   -8.5  985.6  444.0  444.0   79.5  444.0
2010  45  2 14 2200   -8.4  985.9  444.0  444.0   88.8  444.0
2010  45  2 14 2300   -7.6  985.0  444.0  444.0   85.7  444.0
2010  46  2 15 0000   -6.2  985.0  444.0  444.0   80.8  444.0
2010  46  2 15 0100   -5.9  984.8  444.0  444.0   86.6  444.0
2010  46  2 15 0200   -4.6  985.2  444.0  444.0   88.8  444.0
2010  46  2 15 0300   -4.8  985.5  444.0  444.0   98.0  444.0
2010  46  2 15 0400   -4.9  984.7  444.0  444.0   98.4  444.0
2010  46  2 15 0500   -4.6  983.5  444.0  444.0   86.1  444.0
2010  46  2 15 0600   -5.5  982.0  444.0  444.0   97.6  444.0
2010  46  2 15 0700   -4.8  444.0  444.0  444.0   97.6  444.0
2010  46  2 15 0800   -4.4  983.0  444.0  444.0   92.7  444.0
2010  46  2 15 0900   -4.9  983.7  444.0  444.0  444.0  444.0
2010  46  2 15 1000   -4.9  983.7  444.0  444.0  444.0  444.0
2010  46  2 15 1100   -5.0  983.1  444.0  444.0  444.0  444.0
2010  46  2 15 1200   -5.2  981.9  444.0  444.0   97.1  444.0
2010  46  2 15 1300   -5.5  982.1  444.0  444.0   96.7  444.0
2010  46  2 15 1400   -5.4  981.6  444.0  444.0   91.0  444.0
2010  46  2 15 1500   -5.4  982.8  444.0  444.0   94.5  444.0
2010  46  2 15 1600   -6.0  983.0  444.0  444.0  444.0  444.0
2010  46  2 15 1700   -5.9  982.7  444.0  444.0   99.3  444.0
2010  46  2 15 1800   -5.9  981.6  444.0  444.0   98.9  444.0
2010  46  2 15 1900   -5.5  982.1  444.0  444.0  444.0  444.0
2010  46  2 15 2000   -5.4  983.1  444.0  444.0   98.9  444.0
2010  46  2 15 2100   -4.9  982.5  444.0  444.0   97.1  444.0
2010  46  2 15 2200   -5.0  981.2  444.0  444.0   97.1  444.0
2010  46  2 15 2300   -4.9  980.7  444.0  444.0   94.5  444.0
2010  47  2 16 0000  444.0  444.0  444.0  444.0  444.0  444.0
2010  47  2 16 0100   -4.8  979.3  444.0  444.0   86.6  444.0
2010  47  2 16 0200   -5.0  979.8  444.0  444.0   86.1  444.0
2010  47  2 16 0300   -4.4  979.8  444.0  444.0   87.4  444.0
2010  47  2 16 0400   -4.2  979.7  444.0  444.0   87.9  444.0
2010  47  2 16 0500   -4.1  980.5  444.0  444.0   89.6  444.0
2010  47  2 16 0600   -3.8  981.2  444.0  444.0   83.9  444.0
2010  47  2 16 0700   -3.5  980.8  444.0  444.0   83.0  444.0
2010  47  2 16 0800   -3.1  981.8  444.0  444.0   78.2  444.0
