Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 192  7 11 0400  -33.8  989.6    3.4  107.0  444.0  444.0
2009 192  7 11 0500  -35.5  990.4    2.7  153.0  444.0  444.0
2009 192  7 11 0600  -32.5  990.6    3.2  122.0  444.0  444.0
2009 192  7 11 0700  -29.4  991.0    2.2  221.0  444.0  444.0
2009 192  7 11 0800  -27.9  991.0    1.5  163.0  444.0  444.0
2009 192  7 11 0900  -28.4  991.4    0.5  232.0  444.0  444.0
2009 192  7 11 1000  -27.5  990.9    4.4  278.0  444.0  444.0
2009 192  7 11 1100  -27.9  990.5    1.0  297.0  444.0  444.0
2009 192  7 11 1200  -28.4  990.0    0.5    3.0  444.0  444.0
2009 192  7 11 1300  -29.2  989.9    1.5  295.0  444.0  444.0
2009 192  7 11 1400  -26.6  989.4    1.5  352.0  444.0  444.0
2009 192  7 11 1500  -26.6  989.1    2.7  166.0  444.0  444.0
2009 192  7 11 1600  -23.6  988.0    2.9  226.0  444.0  444.0
2009 192  7 11 1700  -27.1  987.1    2.7  259.0  444.0  444.0
2009 192  7 11 1800  -27.1  986.4    1.7  107.0  444.0  444.0
2009 192  7 11 1900  -32.6  986.1    4.4  122.0  444.0  444.0
2009 192  7 11 2000  -30.8  986.0    5.6  138.0  444.0  444.0
2009 192  7 11 2100  -29.5  985.9    4.7  127.0  444.0  444.0
2009 192  7 11 2200  -29.6  986.5    4.9  143.0  444.0  444.0
2009 192  7 11 2300  -24.2  986.9    2.9  191.0  444.0  444.0
2009 193  7 12 0000  -22.1  987.2    2.9  184.0  444.0  444.0
2009 193  7 12 0100  -22.8  987.6    1.7  224.0  444.0  444.0
2009 193  7 12 0200  -24.0  987.5    3.7  219.0  444.0  444.0
2009 193  7 12 0300  -21.2  987.7    2.2  169.0  444.0  444.0
2009 193  7 12 0400  -21.8  987.8    2.0  271.0  444.0  444.0
2009 193  7 12 0500  -23.1  989.0    2.2  134.0  444.0  444.0
2009 193  7 12 0600  -22.0  989.1    0.0    0.0  444.0  444.0
2009 193  7 12 0700  -24.2  990.3    3.4  152.0  444.0  444.0
2009 193  7 12 0800  -26.8  991.5    5.1  163.0  444.0  444.0
2009 193  7 12 0900  -25.8  992.6    6.4  143.0  444.0  444.0
2009 193  7 12 1000  -26.1  993.5    7.6  146.0  444.0  444.0
2009 193  7 12 1100  -24.9  993.9   10.5  152.0  444.0  444.0
2009 193  7 12 1200  -25.4  995.1    6.6  165.0  444.0  444.0
2009 193  7 12 1300  -26.4  996.0    7.8  158.0  444.0  444.0
2009 193  7 12 1400  -27.8  996.9   11.3  158.0  444.0  444.0
2009 193  7 12 1500  -28.4  997.1    9.3  150.0  444.0  444.0
2009 193  7 12 1600  -28.4  997.5   11.0  149.0  444.0  444.0
2009 193  7 12 1700  -27.8  997.7    7.6  170.0  444.0  444.0
2009 193  7 12 1800  -26.8  997.3   10.8  155.0  444.0  444.0
2009 193  7 12 1900  -25.5  997.4    7.8  172.0  444.0  444.0
2009 193  7 12 2000  -25.5  997.0    7.6  155.0  444.0  444.0
2009 193  7 12 2100  -25.0  996.9    5.4  167.0  444.0  444.0
2009 193  7 12 2200  -23.8  996.7    4.2  200.0  444.0  444.0
2009 193  7 12 2300  -22.6  996.0    2.5  221.0  444.0  444.0
2009 194  7 13 0000  -23.2  995.1    3.4  226.0  444.0  444.0
2009 194  7 13 0100  -23.4  994.3    4.2  231.0  444.0  444.0
2009 194  7 13 0200  -23.1  993.3    4.2  249.0  444.0  444.0
2009 194  7 13 0300  -27.1  992.4    1.2   30.0  444.0  444.0
2009 194  7 13 0400  -28.8  991.3    0.7  135.0  444.0  444.0
2009 194  7 13 0500  -28.0  990.1    0.0    0.0  444.0  444.0
2009 194  7 13 0600  -27.5  989.2    1.5  297.0  444.0  444.0
2009 194  7 13 0700  -27.8  988.2    0.0    0.0  444.0  444.0
2009 194  7 13 0800  -26.6  987.0    0.0    0.0  444.0  444.0
2009 194  7 13 0900  -27.0  986.1    0.0    0.0  444.0  444.0
2009 194  7 13 1000  -30.0  985.5    2.5  143.0  444.0  444.0
2009 194  7 13 1100  -28.6  984.8    1.0  135.0  444.0  444.0
2009 194  7 13 1200  -27.9  984.0    0.0    0.0  444.0  444.0
2009 194  7 13 1300  -28.5  983.3    0.0    0.0  444.0  444.0
2009 194  7 13 1400  -27.9  983.1    0.2  121.0  444.0  444.0
2009 194  7 13 1500  -27.2  982.8    1.7  136.0  444.0  444.0
2009 194  7 13 1600  -26.4  982.5    1.2  156.0  444.0  444.0
2009 194  7 13 1700  -27.5  982.3    0.0    0.0  444.0  444.0
2009 194  7 13 1800  -27.2  982.4    0.0    0.0  444.0  444.0
2009 194  7 13 1900  -26.9  982.4    0.7  314.0  444.0  444.0
2009 194  7 13 2000  -26.4  982.3    1.0  280.0  444.0  444.0
2009 194  7 13 2100  -25.8  982.7    0.2  204.0  444.0  444.0
2009 194  7 13 2200  -27.1  982.8    0.0    0.0  444.0  444.0
2009 194  7 13 2300  -26.9  983.1    0.0    0.0  444.0  444.0
2009 195  7 14 0000  -28.4  983.5    0.0    0.0  444.0  444.0
2009 195  7 14 0100  -27.4  984.0    0.5  149.0  444.0  444.0
2009 195  7 14 0200  -27.2  984.1    2.5  125.0  444.0  444.0
2009 195  7 14 0300  -26.0  984.3    3.2  148.0  444.0  444.0
2009 195  7 14 0400  -24.9  984.5    2.0  135.0  444.0  444.0
2009 195  7 14 0500  -23.4  984.9    1.0  222.0  444.0  444.0
2009 195  7 14 0600  -31.9  985.3    5.9  121.0  444.0  444.0
2009 195  7 14 0700  -24.4  985.5    6.4  135.0  444.0  444.0
2009 195  7 14 0800  -25.8  986.2    5.1  146.0  444.0  444.0
2009 195  7 14 0900  -25.5  986.5    2.5  112.0  444.0  444.0
2009 195  7 14 1000  -26.0  986.4    2.5  319.0  444.0  444.0
2009 195  7 14 1100  -27.9  986.5    2.7  145.0  444.0  444.0
2009 195  7 14 1200  -25.5  986.5    3.2   83.0  444.0  444.0
2009 195  7 14 1300  -23.1  987.3    5.4  160.0  444.0  444.0
2009 195  7 14 1400  -23.8  987.7    4.2  163.0  444.0  444.0
2009 195  7 14 1500  -22.6  987.6    4.4  177.0  444.0  444.0
2009 195  7 14 1600  -23.6  987.8    2.9  222.0  444.0  444.0
2009 195  7 14 1700  -22.5  987.7    1.7  269.0  444.0  444.0
2009 195  7 14 1800  -23.0  987.6    1.2  280.0  444.0  444.0
2009 195  7 14 1900  -22.1  987.1    2.0  250.0  444.0  444.0
2009 195  7 14 2000  -23.2  986.5    0.0    0.0  444.0  444.0
2009 195  7 14 2100  -21.2  986.1    0.0    0.0  444.0  444.0
2009 195  7 14 2200  -22.8  986.0    2.0  179.0  444.0  444.0
2009 195  7 14 2300  -21.2  985.6    0.0    0.0  444.0  444.0
2009 196  7 15 0000  -18.2  984.6    0.7  207.0  444.0  444.0
