Year: 2004  Month: 02  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.57E  Elev:    5m
2004  46  2 15 0000  444.0  996.6    1.3   41.0  444.0  444.0
2004  46  2 15 0100  -11.5  996.6    1.5   28.0  444.0  444.0
2004  46  2 15 0200  -10.0  996.9    1.5   52.0  444.0  444.0
2004  46  2 15 0300   -9.1  997.2    1.5   51.0  444.0  444.0
2004  46  2 15 0400   -8.8  997.5    1.0   60.0  444.0  444.0
2004  46  2 15 0500  -10.4  998.1    2.3   66.0  444.0  444.0
2004  46  2 15 0600  -10.4  998.9    1.5   70.0  444.0  444.0
2004  46  2 15 0700  -10.6  999.8    2.3   39.0  444.0  444.0
2004  46  2 15 0800  -11.1 1000.7    1.3   94.0  444.0  444.0
2004  46  2 15 0900  -11.5 1001.8    6.4  162.0  444.0  444.0
2004  46  2 15 1000  -11.5 1002.6    8.6  162.0  444.0  444.0
2004  46  2 15 1100  -11.4 1003.6    8.1  162.0  444.0  444.0
2004  46  2 15 1200  -11.1 1004.5    7.6  152.0  444.0  444.0
2004  46  2 15 1300  -11.1 1005.1    5.3  160.0  444.0  444.0
2004  46  2 15 1400  -10.8 1006.0    5.1  158.0  444.0  444.0
2004  46  2 15 1500  -12.0 1007.1    2.5  353.0  444.0  444.0
2004  46  2 15 1600  -12.9 1007.9    2.5  360.0  444.0  444.0
2004  46  2 15 1700  -12.4 1008.5    2.5    4.0  444.0  444.0
2004  46  2 15 1800  -12.4 1008.8    2.0  319.0  444.0  444.0
2004  46  2 15 1900  -12.4 1009.3    2.3   44.0  444.0  444.0
2004  46  2 15 2000  -11.4 1009.6    3.3   93.0  444.0  444.0
2004  46  2 15 2100   -9.0 1009.7    2.5   18.0  444.0  444.0
2004  46  2 15 2200  -10.9 1010.5   12.7  184.0  444.0  444.0
2004  46  2 15 2300   -8.8 1010.2    0.5   25.0  444.0  444.0
2004  47  2 16 0000   -7.9 1010.1    0.8  105.0  444.0  444.0
2004  47  2 16 0100  -10.2 1009.9    7.4  135.0  444.0  444.0
2004  47  2 16 0200  -10.4 1010.3    9.4  148.0  444.0  444.0
2004  47  2 16 0300  -10.9 1010.0    8.4  141.0  444.0  444.0
2004  47  2 16 0400   -9.6 1010.3    7.4  155.0  444.0  444.0
2004  47  2 16 0500  -10.6 1009.9    8.9  149.0  444.0  444.0
