Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  40  2  9 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0300    0.7  981.8    8.5   57.0   95.5  444.0
2004  41  2 10 0400  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0500    0.6  983.9    6.4   56.0   96.0  444.0
2004  41  2 10 0600    0.3  444.0    0.0    0.0   96.1  444.0
2004  41  2 10 0700  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0800    0.4  985.3   15.6   58.0   96.2  444.0
2004  41  2 10 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1000    0.6  986.0   13.5   59.0   95.6  444.0
2004  41  2 10 1100  444.0  444.0   13.8   58.0   95.6  444.0
2004  41  2 10 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1300    0.5  988.0    8.2   47.0   95.4  444.0
2004  41  2 10 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 2100   -0.1  444.0    9.9   50.0   92.6  444.0
2004  41  2 10 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0200    0.3  444.0    8.3   57.0   89.4  444.0
2004  42  2 11 0300  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0400    0.3  444.0   10.5   58.0   88.9  444.0
2004  42  2 11 0500  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0600   -0.3  444.0    4.1   70.0   88.3  444.0
2004  42  2 11 0700  444.0  444.0  444.0  444.0   85.3  444.0
2004  42  2 11 0800   -0.6  999.1    6.9   66.0   86.4  444.0
2004  42  2 11 0900    0.1  444.0    6.8   57.0   87.7  444.0
2004  42  2 11 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1100    0.6 1000.4    7.6   57.0   89.6  444.0
2004  42  2 11 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1300    0.8 1001.8    7.8   57.0   91.0  444.0
2004  42  2 11 1400    0.9  444.0    7.1   57.0   91.7  444.0
2004  42  2 11 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 2000    1.4 1005.9    7.7   58.0   94.0  444.0
2004  42  2 11 2100    1.4  444.0    8.6   57.0   94.1  444.0
2004  42  2 11 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0200    2.0  444.0   15.0   59.0   92.2  444.0
2004  43  2 12 0300  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0400    2.3 1004.6   15.4   59.0   90.4  444.0
2004  43  2 12 0500  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0600    2.0  444.0  444.0  444.0   88.7  444.0
2004  43  2 12 0700  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0800  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1100    1.4 1003.9   15.2   59.0   90.8  444.0
2004  43  2 12 1200    2.0 1003.2  444.0  444.0   91.2  444.0
2004  43  2 12 1300  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1400    2.1 1002.5   16.7   60.0   90.5  444.0
2004  43  2 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1600    2.6  444.0  444.0  444.0   91.1  444.0
