Year: 2011  Month: 04  ID: FE2  ARGOS:  8947  Name: Ferrell II          
Lat: 77.85S  Lon: 170.82E  Elev:   45m
2011 104  4 14 0300   -6.7  972.7    4.0  125.0   96.3  444.0
2011 104  4 14 0400   -5.9  974.4    3.9  109.0   96.0  444.0
2011 104  4 14 0500   -5.9  976.2    3.6  103.0   97.0  444.0
2011 104  4 14 0600   -6.0  977.9    2.6  106.0   96.9  444.0
2011 104  4 14 0700   -6.6  979.6    3.5  142.0   96.0  444.0
2011 104  4 14 0800   -6.7  981.1    3.4  170.0   97.0  444.0
2011 104  4 14 0900   -6.3  982.2    4.2  137.0   96.0  444.0
2011 104  4 14 1000   -6.9  983.3    3.4  162.0   96.0  444.0
2011 104  4 14 1100   -7.9  984.1    3.3  194.0   95.0  444.0
2011 104  4 14 1200   -7.6  985.0    4.6  182.0   96.0  444.0
2011 104  4 14 1300   -7.6  985.5    4.4  199.0   96.0  444.0
2011 104  4 14 1400   -7.4  985.8    5.3  212.0   96.0  444.0
2011 104  4 14 1500   -6.8  986.4    6.6  203.0   96.0  444.0
2011 104  4 14 1600   -6.5  987.1    7.4  193.0   96.5  444.0
2011 104  4 14 1700   -6.4  988.1    6.5  187.0   96.0  444.0
2011 104  4 14 1800   -6.4  989.0    5.5  190.0   96.4  444.0
2011 104  4 14 1900   -6.3  989.8    6.4  197.0   97.0  444.0
2011 104  4 14 2000   -6.2  990.7    7.7  194.0   96.7  444.0
2011 104  4 14 2100   -6.1  991.4    7.6  194.0   96.6  444.0
2011 104  4 14 2200   -6.1  992.3    7.7  195.0   96.0  444.0
2011 104  4 14 2300   -6.0  992.9    8.3  196.0   96.5  444.0
2011 105  4 15 0000   -6.1  993.2    9.6  197.0   96.2  444.0
2011 105  4 15 0100   -6.1  993.9   10.1  190.0   96.0  444.0
2011 105  4 15 0200   -6.8  994.4   10.2  194.0   95.0  444.0
2011 105  4 15 0300   -7.4  994.8   11.6  190.0   95.0  444.0
2011 105  4 15 0400   -7.6  994.9   11.8  196.0   94.7  444.0
2011 105  4 15 0500   -8.1  995.3   13.8  188.0   94.7  444.0
2011 105  4 15 0600   -8.2  995.7   13.6  189.0   95.0  444.0
2011 105  4 15 0700   -8.2  996.2   13.7  189.0   95.0  444.0
2011 105  4 15 0800   -8.4  996.5   13.6  191.0   94.0  444.0
2011 105  4 15 0900   -8.8  996.5   14.3  192.0   94.1  444.0
2011 105  4 15 1000   -9.2  997.0   13.7  192.0   94.0  444.0
2011 105  4 15 1100   -9.3  997.3   13.0  190.0   94.0  444.0
2011 105  4 15 1200   -9.5  996.8   12.5  197.0   93.0  444.0
2011 105  4 15 1300   -9.4  997.0   10.7  196.0   94.0  444.0
2011 105  4 15 1400   -9.4  996.8   10.1  193.0   93.2  444.0
2011 105  4 15 1500   -8.6  996.8   10.2  192.0   92.0  444.0
2011 105  4 15 1600   -9.1  996.6    9.6  191.0   88.2  444.0
2011 105  4 15 1700   -9.5  996.6    8.1  193.0   85.0  444.0
2011 105  4 15 1800   -9.8  996.5    6.1  202.0   83.3  444.0
2011 105  4 15 1900   -9.9  996.4    6.3  194.0   77.0  444.0
2011 105  4 15 2000   -9.6  995.9    6.0  200.0   70.0  444.0
2011 105  4 15 2100   -9.7  995.7    5.5  224.0   77.0  444.0
2011 105  4 15 2200   -9.9  995.4    6.0  214.0   79.0  444.0
2011 105  4 15 2300  -10.5  995.0    6.1  208.0   78.0  444.0
2011 106  4 16 0000  -11.0  994.7    7.4  205.0   80.0  444.0
2011 106  4 16 0100  -11.3  994.5    6.6  191.0   82.0  444.0
2011 106  4 16 0200   -9.8  994.2   11.2  193.0   90.5  444.0
2011 106  4 16 0300  -11.5  994.3    8.8  190.0   90.0  444.0
2011 106  4 16 0400  -12.0  994.3    6.8  191.0   83.0  444.0
2011 106  4 16 0500  -13.2  993.9    5.9  197.0   86.0  444.0
2011 106  4 16 0600  -14.0  993.6    4.9  184.0   82.0  444.0
2011 106  4 16 0700  -14.4  993.2    3.8  189.0   82.0  444.0
