Year: 2011  Month: 08  ID: FSB  ARGOS:  8920  Name: Fossil Bluff        
Lat: 71.34S  Lon:  68.29W  Elev:   63m
2011 225  8 13 1000  -22.6  995.2    0.7  167.0   76.5  444.0
2011 225  8 13 1100  -23.1  995.3    1.5  333.0   79.0  444.0
2011 225  8 13 1200  -26.4  995.1    2.5  335.0   79.9  444.0
2011 225  8 13 1300  -21.8  994.8    1.2  172.0   76.3  444.0
2011 225  8 13 1400  -26.4  994.8    5.5  335.0   79.3  444.0
2011 225  8 13 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 225  8 13 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 225  8 13 1700  -27.0  994.3    2.9  338.0   75.7  444.0
2011 225  8 13 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 225  8 13 1900  -27.1  994.3    2.7  337.0   74.6  444.0
2011 225  8 13 2000  444.0  994.3  444.0  444.0  444.0  444.0
2011 225  8 13 2100  -25.2  994.3    1.4  326.0   72.0  444.0
2011 225  8 13 2200  -28.0  994.4    1.2  320.0   71.2  444.0
2011 225  8 13 2300  444.0  444.0  444.0  444.0  444.0  444.0
2011 226  8 14 0000  -23.0  994.6    1.3  176.0   66.2  444.0
2011 226  8 14 0100  -23.3  994.7    0.2  269.0   70.1  444.0
2011 226  8 14 0200  -22.8  994.6    1.4  180.0   62.6  444.0
2011 226  8 14 0300  -26.6  994.5    1.3  210.0   70.0  444.0
2011 226  8 14 0400  -27.0  994.6    1.3  236.0   73.0  444.0
2011 226  8 14 0500  -23.1  994.5    0.6  330.0   68.5  444.0
2011 226  8 14 0600  -23.3  994.7    1.1  197.0   64.5  444.0
2011 226  8 14 0700  -21.9  994.8    1.2  181.0   67.1  444.0
2011 226  8 14 0800  -23.3  995.4    0.5  253.0   69.8  444.0
2011 226  8 14 0900  -22.0  995.3    0.4  263.0   67.4  444.0
2011 226  8 14 1000  -21.6  995.6    0.6  320.0   66.1  444.0
2011 226  8 14 1100  -21.0  995.9    1.1  182.0   62.8  444.0
2011 226  8 14 1200  -24.1  996.0    0.9  315.0   70.8  444.0
2011 226  8 14 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 226  8 14 1400  -19.6  996.5    0.6  175.0   63.9  444.0
2011 226  8 14 1500  -23.3  996.5    1.8  329.0   64.8  444.0
2011 226  8 14 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 226  8 14 1700  -21.6  996.9    1.0  169.0   60.2  444.0
2011 226  8 14 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 226  8 14 1900  -22.2  997.1    0.2  254.0   63.6  444.0
2011 226  8 14 2000  -21.3  997.7    0.2  337.0   63.4  444.0
2011 226  8 14 2100  444.0  444.0  444.0  444.0  444.0  444.0
2011 226  8 14 2200  -23.7  998.2    1.3  162.0   71.4  444.0
2011 226  8 14 2300  -25.0  998.5    0.4  282.0   72.6  444.0
2011 227  8 15 0000  -26.0  998.7    0.2  240.0   75.8  444.0
2011 227  8 15 0100  -20.2  998.8    1.4  146.0   59.5  444.0
2011 227  8 15 0200  -23.8  998.7    1.7  146.0   67.3  444.0
2011 227  8 15 0300  -26.2  999.0    2.1  320.0   75.1  444.0
2011 227  8 15 0400  -23.5  999.2    0.7  239.0   76.1  444.0
2011 227  8 15 0500  -23.8  999.3    1.3  186.0   70.2  444.0
2011 227  8 15 0600  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 0700  -24.0  999.8    0.8  332.0   72.6  444.0
2011 227  8 15 0800  -22.5  999.9    0.8  176.0   75.2  444.0
2011 227  8 15 0900  -23.4 1000.1    0.3  337.0   76.3  444.0
2011 227  8 15 1000  -23.3 1000.2    0.4  308.0   74.8  444.0
2011 227  8 15 1100  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 1200  -24.7 1000.5    0.9  323.0   77.6  444.0
2011 227  8 15 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 1500  -24.6 1000.5    0.4  103.0   77.8  444.0
2011 227  8 15 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 1700  -29.6 1000.3    0.5  321.0   72.9  444.0
2011 227  8 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 227  8 15 1900  -23.9 1000.1    0.3  338.0   79.3  444.0
2011 227  8 15 2000  -25.8 1000.1    0.3  337.0   80.6  444.0
2011 227  8 15 2100  -25.4 1000.0    0.3  299.0   81.3  444.0
2011 227  8 15 2200  -26.1 1000.1    0.5  294.0   78.8  444.0
2011 227  8 15 2300  444.0  444.0  444.0  444.0  444.0  444.0
2011 228  8 16 0000  -27.6  999.9    0.3  148.0   78.1  444.0
2011 228  8 16 0100  -27.4  999.9    0.7  194.0   79.5  444.0
2011 228  8 16 0200  -23.7  999.4    0.4  327.0   82.7  444.0
2011 228  8 16 0300  -24.1  999.0    0.2  342.0   79.7  444.0
2011 228  8 16 0400  -23.4  998.6    0.4  187.0   80.7  444.0
2011 228  8 16 0500  -26.2  998.3    0.8  296.0   78.5  444.0
2011 228  8 16 0600  -24.9  998.1    1.4  162.0   80.5  444.0
2011 228  8 16 0700  -25.6  997.7    0.2  200.0   80.1  444.0
