Year: 2013  Month: 09  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2013 255  9 12 0100  -24.8  983.8  444.0  444.0   72.4  444.0
2013 255  9 12 0200  -24.3  984.2  444.0  444.0   72.0  444.0
2013 255  9 12 0300  -23.6  984.9  444.0  444.0   73.0  444.0
2013 255  9 12 0400  -23.1  985.4  444.0  444.0   74.0  444.0
2013 255  9 12 0500  -22.9  985.8  444.0  444.0   76.0  444.0
2013 255  9 12 0600  -22.0  985.9  444.0  444.0   74.3  444.0
2013 255  9 12 0700  -21.6  986.8  444.0  444.0   75.0  444.0
2013 255  9 12 0800  -21.3  987.3  444.0  444.0   77.0  444.0
2013 255  9 12 0900  -21.1  988.4  444.0  444.0   77.0  444.0
2013 255  9 12 1000  -20.8  989.2  444.0  444.0   78.0  444.0
2013 255  9 12 1100  -20.2  990.0  444.0  444.0   77.8  444.0
2013 255  9 12 1200  -19.3  990.3  444.0  444.0   78.0  444.0
2013 255  9 12 1300  -19.2  991.2  444.0  444.0   79.0  444.0
2013 255  9 12 1400  -19.3  991.1  444.0  444.0   79.0  444.0
2013 255  9 12 1500  -19.0  991.9  444.0  444.0   80.0  444.0
2013 255  9 12 1600  -18.6  992.0  444.0  444.0   79.0  444.0
2013 255  9 12 1700  -18.4  993.0  444.0  444.0   78.0  444.0
2013 255  9 12 1800  -18.1  993.3  444.0  444.0   78.0  444.0
2013 255  9 12 1900  -17.7  993.7  444.0  444.0   80.0  444.0
2013 255  9 12 2000  -17.9  994.0  444.0  444.0   80.0  444.0
2013 255  9 12 2100  -17.8  994.2  444.0  444.0   81.1  444.0
2013 255  9 12 2200  -17.4  994.5  444.0  444.0   82.0  444.0
2013 255  9 12 2300  -17.3  995.0  444.0  444.0   82.4  444.0
2013 256  9 13 0000  -17.1  994.6  444.0  444.0   83.0  444.0
2013 256  9 13 0100  -16.7  994.3  444.0  444.0   86.0  444.0
2013 256  9 13 0200  -17.0  994.8  444.0  444.0   84.0  444.0
2013 256  9 13 0300  -16.2  994.3  444.0  444.0   84.0  444.0
2013 256  9 13 0400  -16.1  994.3  444.0  444.0   84.0  444.0
2013 256  9 13 0500  -16.0  994.6  444.0  444.0   84.0  444.0
2013 256  9 13 0600  -16.2  994.5  444.0  444.0   80.0  444.0
2013 256  9 13 0700  -16.6  995.1  444.0  444.0   80.0  444.0
2013 256  9 13 0800  -17.2  995.1  444.0  444.0   73.0  444.0
2013 256  9 13 0900  -17.9  995.5  444.0  444.0   78.4  444.0
2013 256  9 13 1000  -18.6  995.8  444.0  444.0   79.0  444.0
2013 256  9 13 1100  -19.1  996.0  444.0  444.0   79.0  444.0
2013 256  9 13 1200  -19.3  996.0  444.0  444.0   78.0  444.0
2013 256  9 13 1300  -19.3  996.4  444.0  444.0   79.0  444.0
2013 256  9 13 1400  -19.2  996.3  444.0  444.0   77.4  444.0
2013 256  9 13 1500  -18.9  996.1  444.0  444.0   77.9  444.0
2013 256  9 13 1600  -18.3  996.0  444.0  444.0   76.0  444.0
2013 256  9 13 1700  -18.0  995.3  444.0  444.0   76.7  444.0
2013 256  9 13 1800  -17.2  994.8  444.0  444.0   75.0  444.0
2013 256  9 13 1900  -17.1  994.8  444.0  444.0   71.5  444.0
2013 256  9 13 2000  -16.4  994.3  444.0  444.0   72.0  444.0
2013 256  9 13 2100  -16.4  993.5  444.0  444.0   72.0  444.0
2013 256  9 13 2200  -16.3  992.9  444.0  444.0   80.0  444.0
2013 256  9 13 2300  -16.1  992.0  444.0  444.0   81.0  444.0
2013 257  9 14 0000  -15.6  990.7  444.0  444.0   85.0  444.0
2013 257  9 14 0100  -15.5  990.1  444.0  444.0   88.0  444.0
2013 257  9 14 0200  -15.6  989.4  444.0  444.0   87.0  444.0
2013 257  9 14 0300  -16.2  988.9  444.0  444.0   84.0  444.0
