Year: 2002  Month: 08  ID: CSP  ARGOS:  8695  Name: Cape Spencer        
Lat: 77.96S  Lon: 167.54E  Elev:   23m
2002 223  8 11 1500  -48.9  973.9    0.2  264.0   55.7  444.0
2002 223  8 11 1600  -47.2  973.5    0.2  255.0   57.8  444.0
2002 223  8 11 1700  -46.4  973.4    3.9  264.0   59.9  444.0
2002 223  8 11 1800  -46.9  973.4    3.7  252.0   59.5  444.0
2002 223  8 11 1900  -47.6  973.3    3.3  242.0   58.2  444.0
2002 223  8 11 2000  -45.2  973.4    2.9  263.0   60.7  444.0
2002 223  8 11 2100  -45.6  973.2    3.1  257.0   59.9  444.0
2002 223  8 11 2200  -44.8  973.3    3.1  253.0   61.6  444.0
2002 223  8 11 2300  -43.9  973.3    3.5  253.0   62.4  444.0
2002 224  8 12 0000  -43.2  972.8    3.9  248.0   63.3  444.0
2002 224  8 12 0100  -42.4  972.5    4.1  245.0   64.1  444.0
2002 224  8 12 0200  -41.2  972.4    4.5  256.0   66.2  444.0
2002 224  8 12 0300  -40.9  972.1    4.3  242.0   66.6  444.0
2002 224  8 12 0400  -38.8  971.9    5.5  248.0   69.1  444.0
2002 224  8 12 0500  -36.9  971.7    7.6  233.0   71.2  444.0
2002 224  8 12 0600  -37.0  971.5    7.0  238.0   70.8  444.0
2002 224  8 12 0700  -37.5  971.1    7.6  232.0   70.4  444.0
2002 224  8 12 0800  -38.2  971.0    7.0  240.0   69.1  444.0
2002 224  8 12 0900  -37.1  971.1    7.2  236.0   70.8  444.0
2002 224  8 12 1000  -36.8  970.8    8.0  233.0   71.7  444.0
2002 224  8 12 1100  -35.8  970.6    7.6  229.0   73.3  444.0
2002 224  8 12 1200  -34.6  970.7    7.6  229.0   75.0  444.0
2002 224  8 12 1300  -33.9  971.0    8.0  240.0   75.0  444.0
2002 224  8 12 1400  -33.1  971.5    8.4  238.0   76.7  444.0
2002 224  8 12 1500  -33.8  971.6    7.2  242.0   75.0  444.0
2002 224  8 12 1600  -32.8  972.5    7.2  240.0   75.9  444.0
2002 224  8 12 1700  -32.0  973.5    4.7  243.0   77.5  444.0
2002 224  8 12 1800  -31.8  974.7    3.1  267.0   78.4  444.0
2002 224  8 12 1900  -31.6  444.0   17.5  214.0   77.5  444.0
2002 224  8 12 2000  -33.2  444.0   19.5  188.0   75.4  444.0
2002 224  8 12 2100  -32.4  978.5   18.5  236.0   76.7  444.0
2002 224  8 12 2200  -28.4  980.9   22.2  208.0   81.3  444.0
2002 224  8 12 2300  -28.8  982.3   18.5  198.0   78.0  444.0
2002 225  8 13 0000  -27.9  983.4   17.9  194.0   77.5  444.0
2002 225  8 13 0100  -27.4  984.7   12.9  187.0   71.7  444.0
2002 225  8 13 0200  -33.2  986.2    6.8  112.0   71.7  444.0
2002 225  8 13 0300  -32.9  987.3    5.1   11.0   73.3  444.0
2002 225  8 13 0400  -32.2  987.5    1.6  105.0   73.8  444.0
2002 225  8 13 0500  -36.1  987.2    5.3   86.0   67.5  444.0
2002 225  8 13 0600  -36.1  987.0    1.4  349.0   71.7  444.0
2002 225  8 13 0700  -35.9  986.6    3.1   17.0   71.7  444.0
2002 225  8 13 0800  -31.6  986.1    2.1  356.0   76.7  444.0
2002 225  8 13 0900  -34.1  985.8    2.1  322.0   67.0  444.0
2002 225  8 13 1000  -35.1  985.5    5.1  248.0   68.3  444.0
2002 225  8 13 1100  -36.4  985.0    4.5  252.0   72.5  444.0
2002 225  8 13 1200  -35.2  984.7    6.8  253.0   73.8  444.0
2002 225  8 13 1300  -35.9  984.4    6.4  243.0   72.9  444.0
2002 225  8 13 1400  -34.5  983.6    6.2  224.0   74.6  444.0
2002 225  8 13 1500  -33.1  983.4    6.6  224.0   76.3  444.0
2002 225  8 13 1600  -31.8  982.9    8.2  231.0   74.2  444.0
2002 225  8 13 1700  -31.4  983.3    7.4  243.0   72.9  444.0
2002 225  8 13 1800  -35.5  984.2    4.5  283.0   71.2  444.0
