Year: 2002  Month: 04  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 105  4 15 0900  -26.8  982.5    1.2  332.0   86.6  444.0
2002 105  4 15 1000  -26.8  982.7    0.8  198.0   86.6  444.0
2002 105  4 15 1100  -26.6  982.7    0.2  232.0   86.6  444.0
2002 105  4 15 1200  -26.8  982.5    1.0   39.0   86.6  444.0
2002 105  4 15 1300  -26.8  982.5    1.9   38.0   86.6  444.0
2002 105  4 15 1400  -28.0  982.7    1.8   39.0   84.4  444.0
2002 105  4 15 1500  -29.8  982.5    1.0   46.0   82.6  444.0
2002 105  4 15 1600  -29.6  982.5    1.2   42.0   83.0  444.0
2002 105  4 15 1700  -29.6  982.5    0.8  103.0   82.6  444.0
2002 105  4 15 1800  -29.8  982.2    1.8  340.0   83.9  444.0
2002 105  4 15 1900  -29.6  982.5    1.0  139.0   82.6  444.0
2002 105  4 15 2000  -30.8  982.2    1.4  158.0   81.3  444.0
2002 105  4 15 2100  -29.2  982.0    1.4  135.0   83.0  444.0
2002 105  4 15 2200  -27.9  982.1    1.0  163.0   84.4  444.0
2002 105  4 15 2300  -28.1  981.9    0.6    7.0   84.8  444.0
2002 106  4 16 0000  -28.2  981.8    0.4  239.0   84.8  444.0
2002 106  4 16 0100  -26.8  981.9    1.8  267.0   86.6  444.0
2002 106  4 16 0200  -25.9  981.9    0.6  235.0   87.4  444.0
2002 106  4 16 0300  -25.5  981.9    1.0   73.0   87.9  444.0
2002 106  4 16 0400  -27.9  981.7    3.7   37.0   84.8  444.0
2002 106  4 16 0500  -28.5  981.9    5.1   31.0   83.9  444.0
2002 106  4 16 0600  -29.1  982.2    3.3   39.0   83.0  444.0
2002 106  4 16 0700  -29.2  982.2    2.9   17.0   83.0  444.0
2002 106  4 16 0800  -29.0  982.5    2.3   14.0   83.5  444.0
