Year: 2002  Month: 09  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 257  9 14 1100  -12.6  989.4    8.0  181.0   92.7  444.0
2002 257  9 14 1200  -12.1  989.8    9.4  166.0   88.3  444.0
2002 257  9 14 1300  -12.8  990.6    3.7  129.0   92.3  444.0
2002 257  9 14 1400  -12.8  991.0    3.5  112.0   93.2  444.0
2002 257  9 14 1500  -19.9  991.6    3.9   37.0   94.9  444.0
2002 257  9 14 1600  -17.4  991.7    1.6   22.0   97.1  444.0
2002 257  9 14 1700  -15.5  991.5    3.3  311.0   98.0  444.0
2002 257  9 14 1800  -15.1  991.9    0.6  262.0  444.0  444.0
2002 257  9 14 1900  -15.0  992.1    2.5  347.0  444.0  444.0
2002 257  9 14 2000  -15.6  992.0    0.8  235.0  444.0  444.0
2002 257  9 14 2100  -14.8  991.9    0.2  200.0  444.0  444.0
2002 257  9 14 2200  -13.9  991.7    2.3  250.0   98.9  444.0
2002 257  9 14 2300  -13.0  991.7    2.5  257.0   96.2  444.0
2002 258  9 15 0000  -11.1  992.3    5.7  195.0   84.4  444.0
2002 258  9 15 0100  -13.5  991.5   11.1  101.0   94.9  444.0
2002 258  9 15 0200  -14.4  991.5   17.2  107.0   93.2  444.0
2002 258  9 15 0300  -11.9  992.3    6.8  228.0   91.8  444.0
2002 258  9 15 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 258  9 15 0500  -12.8  992.6    9.0  162.0   98.9  444.0
2002 258  9 15 0600  -14.2  992.8   13.3  159.0  444.0  444.0
2002 258  9 15 0700  -18.6  444.0   21.6  218.0   94.9  444.0
2002 258  9 15 0800  -19.6  994.2   13.8  225.0   94.0  444.0
2002 258  9 15 0900  -21.2  994.4   17.5  177.0   95.8  444.0
2002 258  9 15 1000  -18.9  995.6   21.8  202.0   96.2  444.0
2002 258  9 15 1100  -18.9  995.2   16.6  202.0   95.4  444.0
2002 258  9 15 1200  -18.4  995.0   19.7  198.0   95.8  444.0
2002 258  9 15 1300  -18.4  994.4   18.3  186.0   94.0  444.0
2002 258  9 15 1400  -18.0  996.3    8.2  224.0   89.2  444.0
2002 258  9 15 1500  -18.0  994.7   14.6  187.0   94.0  444.0
2002 258  9 15 1600  -18.0  994.1   13.6  179.0   91.0  444.0
2002 258  9 15 1700  -18.6  994.5   15.4  180.0   83.5  444.0
2002 258  9 15 1800  -19.6  995.1   10.1  158.0   87.0  444.0
2002 258  9 15 1900  -19.2  993.4   13.8  158.0   79.5  444.0
2002 258  9 15 2000  -18.9  993.3   10.7  136.0   78.2  444.0
2002 258  9 15 2100  -17.9  992.1   13.3  129.0   75.6  444.0
2002 258  9 15 2200  -17.2  990.9    9.6  127.0   64.6  444.0
2002 258  9 15 2300  -16.6  990.2    7.4  122.0   58.8  444.0
2002 259  9 16 0000  -16.1  989.1    1.4  177.0   53.6  444.0
2002 259  9 16 0100  -16.5  987.8    2.7  150.0   47.8  444.0
2002 259  9 16 0200  -16.5  986.5    2.1  204.0   54.0  444.0
2002 259  9 16 0300  -17.6  984.9    4.1  333.0   58.8  444.0
2002 259  9 16 0400  -19.8  983.7    4.1  308.0   72.5  444.0
2002 259  9 16 0500  -17.2  982.6    2.3  309.0   54.9  444.0
2002 259  9 16 0600  -21.5  981.3    3.7  319.0   69.4  444.0
