Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 313 11  9 1900  -14.5  983.8  444.0  444.0   53.6  444.0
2002 313 11  9 2000  -14.1  984.7  444.0  444.0   53.6  444.0
2002 313 11  9 2100  -13.1  984.5  444.0  444.0   53.6  444.0
2002 313 11  9 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 313 11  9 2300  -11.4  985.3  444.0  444.0   54.4  444.0
2002 314 11 10 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 314 11 10 0100   -9.1  984.7  444.0  444.0   55.3  444.0
2002 314 11 10 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 314 11 10 0300   -7.4  984.4  444.0  444.0   51.8  444.0
2002 314 11 10 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 314 11 10 0500   -6.0  984.0  444.0  444.0   56.6  444.0
2002 314 11 10 0600   -5.9  983.9  444.0  444.0   54.9  444.0
2002 314 11 10 0700   -6.4  984.1  444.0  444.0   57.5  444.0
2002 314 11 10 0800   -6.6  984.2  444.0  444.0   57.5  444.0
2002 314 11 10 0900   -6.1  984.6  444.0  444.0   55.3  444.0
2002 314 11 10 1000   -7.4  984.9  444.0  444.0   54.0  444.0
2002 314 11 10 1100   -8.5  985.2  444.0  444.0   55.8  444.0
2002 314 11 10 1200   -9.2  985.5  444.0  444.0   55.3  444.0
2002 314 11 10 1300  -10.0  985.5  444.0  444.0   54.9  444.0
2002 314 11 10 1400  -10.8  986.0  444.0  444.0   54.9  444.0
2002 314 11 10 1500  -11.2  986.0  444.0  444.0   54.4  444.0
2002 314 11 10 1600  -11.8  986.7  444.0  444.0   54.4  444.0
2002 314 11 10 1700  -11.2  986.6  444.0  444.0   55.3  444.0
2002 314 11 10 1800  -12.4  986.4  444.0  444.0   54.0  444.0
2002 314 11 10 1900  -10.6  986.8  444.0  444.0   54.9  444.0
2002 314 11 10 2000  -10.1  987.5  444.0  444.0   54.9  444.0
2002 314 11 10 2100   -8.9  987.8  444.0  444.0   56.6  444.0
2002 314 11 10 2200   -8.5  988.0  444.0  444.0   55.3  444.0
2002 314 11 10 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002 315 11 11 0000   -7.4  987.8  444.0  444.0   54.9  444.0
2002 315 11 11 0100   -6.6  987.3  444.0  444.0   55.3  444.0
2002 315 11 11 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 315 11 11 0300   -5.5  986.8  444.0  444.0   55.8  444.0
2002 315 11 11 0400   -5.0  986.8  444.0  444.0   55.8  444.0
2002 315 11 11 0500   -5.2  986.2  444.0  444.0   55.3  444.0
2002 315 11 11 0600   -5.5  986.5  444.0  444.0   55.8  444.0
2002 315 11 11 0700   -5.8  985.6  444.0  444.0   55.3  444.0
2002 315 11 11 0800   -6.8  985.9  444.0  444.0   55.8  444.0
2002 315 11 11 0900   -7.0  986.1  444.0  444.0   56.2  444.0
2002 315 11 11 1000   -7.4  986.1  444.0  444.0   56.2  444.0
2002 315 11 11 1100   -7.8  985.9  444.0  444.0   55.3  444.0
2002 315 11 11 1200   -7.8  985.3  444.0  444.0   55.3  444.0
2002 315 11 11 1300   -7.9  985.0  444.0  444.0   55.3  444.0
2002 315 11 11 1400   -7.9  984.4  444.0  444.0   55.8  444.0
2002 315 11 11 1500   -8.4  984.6  444.0  444.0   55.3  444.0
2002 315 11 11 1600   -8.9  984.4  444.0  444.0   55.3  444.0
2002 315 11 11 1700   -8.0  985.0  444.0  444.0   56.2  444.0
2002 315 11 11 1800   -8.8  984.6  444.0  444.0   54.9  444.0
2002 315 11 11 1900   -9.2  984.4  444.0  444.0   54.9  444.0
2002 315 11 11 2000   -8.9  984.6  444.0  444.0   55.3  444.0
2002 315 11 11 2100   -8.5  984.5  444.0  444.0   55.3  444.0
2002 315 11 11 2200   -7.9  984.7  444.0  444.0   55.3  444.0
2002 315 11 11 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002 316 11 12 0000   -6.9  983.8  444.0  444.0   55.3  444.0
2002 316 11 12 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 316 11 12 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 316 11 12 0300   -5.2  983.9  444.0  444.0   55.8  444.0
2002 316 11 12 0400   -4.9  984.9  444.0  444.0   56.2  444.0
2002 316 11 12 0500   -5.0  983.8  444.0  444.0   55.8  444.0
2002 316 11 12 0600   -4.8  985.0  444.0  444.0   55.3  444.0
2002 316 11 12 0700   -5.2  985.3  444.0  444.0   55.8  444.0
2002 316 11 12 0800   -5.5  986.4  444.0  444.0   55.3  444.0
2002 316 11 12 0900   -6.0  986.1  444.0  444.0   55.8  444.0
2002 316 11 12 1000   -7.0  987.2  444.0  444.0   55.8  444.0
2002 316 11 12 1100   -7.9  987.0  444.0  444.0   55.3  444.0
2002 316 11 12 1200   -8.8  988.5  444.0  444.0   54.9  444.0
2002 316 11 12 1300   -9.4  988.9  444.0  444.0   54.4  444.0
2002 316 11 12 1400   -9.8  988.8  444.0  444.0   54.9  444.0
2002 316 11 12 1500  -10.2  989.2  444.0  444.0   54.4  444.0
2002 316 11 12 1600  -10.4  988.4  444.0  444.0   54.0  444.0
2002 316 11 12 1700  -10.6  989.6  444.0  444.0   54.0  444.0
2002 316 11 12 1800  -10.8  989.2  444.0  444.0   53.6  444.0
2002 316 11 12 1900  -10.2  989.4  444.0  444.0   54.0  444.0
2002 316 11 12 2000   -9.6  990.8  444.0  444.0   54.0  444.0
2002 316 11 12 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002 316 11 12 2200   -8.2  990.6  444.0  444.0   54.4  444.0
2002 316 11 12 2300   -7.8  990.8  444.0  444.0   54.4  444.0
2002 317 11 13 0000   -7.2  989.5  444.0  444.0   54.9  444.0
2002 317 11 13 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 317 11 13 0200   -6.0  989.7  444.0  444.0   54.4  444.0
2002 317 11 13 0300   -5.9  989.7  444.0  444.0   54.9  444.0
2002 317 11 13 0400   -5.6  988.5  444.0  444.0   54.9  444.0
2002 317 11 13 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 317 11 13 0600   -5.5  988.1  444.0  444.0   54.4  444.0
2002 317 11 13 0700   -6.4  988.1  444.0  444.0   54.9  444.0
2002 317 11 13 0800   -6.8  988.0  444.0  444.0   54.4  444.0
2002 317 11 13 0900   -7.0  986.9  444.0  444.0   54.9  444.0
2002 317 11 13 1000   -7.6  986.5  444.0  444.0   54.4  444.0
2002 317 11 13 1100   -8.1  986.5  444.0  444.0   54.4  444.0
2002 317 11 13 1200   -8.9  985.5  444.0  444.0   54.0  444.0
2002 317 11 13 1300   -9.5  986.0  444.0  444.0   54.4  444.0
2002 317 11 13 1400   -9.8  984.9  444.0  444.0   53.6  444.0
2002 317 11 13 1500  -10.4  984.3  444.0  444.0   53.6  444.0
2002 317 11 13 1600  -10.8  984.0  444.0  444.0   53.6  444.0
2002 317 11 13 1700  -10.9  983.2  444.0  444.0   53.6  444.0
2002 317 11 13 1800  -10.9  983.4  444.0  444.0   53.1  444.0
2002 317 11 13 1900  -10.8  983.4  444.0  444.0   53.1  444.0
2002 317 11 13 2000  -10.5  982.4  444.0  444.0   53.1  444.0
2002 317 11 13 2100  -10.0  981.6  444.0  444.0   53.6  444.0
2002 317 11 13 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 317 11 13 2300   -8.2  981.9  444.0  444.0   53.6  444.0
2002 318 11 14 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 0200   -6.0  980.1  444.0  444.0   54.4  444.0
2002 318 11 14 0300   -5.6  979.4  444.0  444.0   54.4  444.0
2002 318 11 14 0400   -5.2  979.5  444.0  444.0   54.4  444.0
2002 318 11 14 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 0600   -5.2  978.9  444.0  444.0   54.4  444.0
2002 318 11 14 0700   -5.5  978.6  444.0  444.0   54.0  444.0
2002 318 11 14 0800   -6.1  977.9  444.0  444.0   54.4  444.0
2002 318 11 14 0900   -7.0  978.0  444.0  444.0   54.4  444.0
2002 318 11 14 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 1100   -8.5  978.2  444.0  444.0   54.0  444.0
2002 318 11 14 1200   -9.4  977.0  444.0  444.0   53.1  444.0
2002 318 11 14 1300  -10.0  976.9  444.0  444.0   52.7  444.0
2002 318 11 14 1400  -10.5  976.7  444.0  444.0   53.1  444.0
2002 318 11 14 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 1600  -11.2  977.3  444.0  444.0   52.2  444.0
2002 318 11 14 1700  -11.5  978.0  444.0  444.0   52.2  444.0
2002 318 11 14 1800  -11.6  978.6  444.0  444.0   52.7  444.0
2002 318 11 14 1900  -11.2  978.3  444.0  444.0   52.7  444.0
2002 318 11 14 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 318 11 14 2100   -9.1  978.3  444.0  444.0   52.7  444.0
2002 318 11 14 2200   -7.0  978.2  444.0  444.0   53.1  444.0
2002 318 11 14 2300   -7.2  978.7  444.0  444.0   53.6  444.0
2002 319 11 15 0000   -7.4  979.5  444.0  444.0   53.1  444.0
2002 319 11 15 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 319 11 15 0200   -5.2  979.7  444.0  444.0   53.6  444.0
2002 319 11 15 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 319 11 15 0400   -3.6  981.0  444.0  444.0   54.0  444.0
2002 319 11 15 0500   -4.8  444.0  444.0  444.0   53.6  444.0
2002 319 11 15 0600   -4.4  982.2  444.0  444.0   54.0  444.0
2002 319 11 15 0700   -4.6  982.9  444.0  444.0   53.6  444.0
2002 319 11 15 0800  444.0  444.0  444.0  444.0  444.0  444.0
2002 319 11 15 0900   -5.8  983.9  444.0  444.0   53.6  444.0
2002 319 11 15 1000   -6.4  984.1  444.0  444.0   53.6  444.0
2002 319 11 15 1100   -6.5  984.8  444.0  444.0   53.6  444.0
2002 319 11 15 1200   -6.8  985.5  444.0  444.0   54.9  444.0
2002 319 11 15 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 319 11 15 1400   -8.4  985.0  444.0  444.0   52.7  444.0
2002 319 11 15 1500   -8.9  985.3  444.0  444.0   52.7  444.0
2002 319 11 15 1600   -9.0  985.4  444.0  444.0   52.7  444.0
2002 319 11 15 1700   -8.4  986.9  444.0  444.0   52.7  444.0
